country,cohort_year,married_by_18
Benin,1967,51.6
Benin,1972,43.65
Benin,1977,42.4
Benin,1982,43.9
Benin,1983,30.4
Benin,1987,41.63
Benin,1988,33.9
Benin,1992,41.17
Benin,1993,35.65
Benin,1997,38.5
Benin,1998,35.95
Benin,2002,34.4
Benin,2003,38.6
Benin,2008,34.65
Benin,2013,30.6
Mauritania,1971,58.8
Mauritania,1976,63.5
Mauritania,1981,59.0
Mauritania,1986,57.1
Mauritania,1991,40.8
Mauritania,1996,37.85
Mauritania,2001,40.5
Mauritania,2006,41.4
Mauritania,2011,38.9
Mauritania,2016,36.6
Nepal,1967,78.8
Nepal,1972,73.6
Nepal,1977,70.37
Nepal,1982,65.08
Nepal,1987,62.58
Nepal,1992,58.66
Nepal,1993,48.1
Nepal,1997,57.0
Nepal,1998,55.1
Nepal,2002,51.43
Nepal,2003,50.1
Nepal,2007,42.75
Nepal,2008,45.2
Nepal,2012,39.5
Nepal,2013,39.0
Nepal,2018,34.9
Tajikistan,1983,12.1
Tajikistan,1988,9.5
Tajikistan,1993,22.9
Tajikistan,1994,21.7
Tajikistan,1998,19.2
Tajikistan,1999,16.3
Tajikistan,2003,10.6
Tajikistan,2004,9.4
Tajikistan,2008,10.8
Tajikistan,2009,13.9
Tajikistan,2013,8.7
Tajikistan,2014,10.7
Tajikistan,2019,8.8
Ethiopia,1971,77.7
Ethiopia,1976,75.1
Ethiopia,1981,71.0
Ethiopia,1982,72.7
Ethiopia,1986,70.7
Ethiopia,1987,66.6
Ethiopia,1991,60.5
Ethiopia,1992,64.95
Ethiopia,1995,56.7
Ethiopia,1996,55.4
Ethiopia,1997,61.2
Ethiopia,2000,56.3
Ethiopia,2001,49.2
Ethiopia,2002,58.85
Ethiopia,2005,53.4
Ethiopia,2007,45.25
Ethiopia,2010,47.7
Ethiopia,2012,40.3
Ethiopia,2015,41.0
Ethiopia,2020,31.8
Bangladesh,1965,93.4
Bangladesh,1968,92.7
Bangladesh,1970,92.7
Bangladesh,1971,90.4
Bangladesh,1973,93.6
Bangladesh,1975,91.35
Bangladesh,1976,89.4
Bangladesh,1978,89.8
Bangladesh,1980,87.1
Bangladesh,1981,85.6
Bangladesh,1982,82.4
Bangladesh,1983,86.75
Bangladesh,1985,82.07
Bangladesh,1986,80.8
Bangladesh,1987,81.4
Bangladesh,1988,81.13
Bangladesh,1990,78.97
Bangladesh,1991,74.8
Bangladesh,1992,77.6
Bangladesh,1993,75.28
Bangladesh,1995,78.35
Bangladesh,1996,65.3
Bangladesh,1997,74.4
Bangladesh,1998,73.6
Bangladesh,2000,70.75
Bangladesh,2002,72.8
Bangladesh,2003,69.23
Bangladesh,2005,68.7
Bangladesh,2007,64.9
Bangladesh,2008,64.9
Bangladesh,2010,58.6
Bangladesh,2013,58.65
Bangladesh,2018,50.7
Indonesia,1958,63.4
Indonesia,1962,61.2
Indonesia,1963,66.9
Indonesia,1965,57.4
Indonesia,1967,61.9
Indonesia,1968,59.1
Indonesia,1970,57.4
Indonesia,1972,56.4
Indonesia,1973,51.6
Indonesia,1974,51.2
Indonesia,1975,50.8
Indonesia,1977,52.0
Indonesia,1978,48.0
Indonesia,1979,46.8
Indonesia,1980,48.1
Indonesia,1982,44.7
Indonesia,1983,41.12
Indonesia,1984,41.7
Indonesia,1985,39.6
Indonesia,1987,34.1
Indonesia,1988,33.1
Indonesia,1989,32.1
Indonesia,1990,30.8
Indonesia,1993,28.48
Indonesia,1994,29.0
Indonesia,1998,24.93
Indonesia,1999,24.2
Indonesia,2003,21.7
Indonesia,2008,17.35
Indonesia,2013,16.3
Mozambique,1968,58.7
Mozambique,1973,59.9
Mozambique,1974,49.4
Mozambique,1978,64.3
Mozambique,1979,55.9
Mozambique,1980,51.9
Mozambique,1982,41.4
Mozambique,1983,55.6
Mozambique,1984,54.2
Mozambique,1985,56.2
Mozambique,1986,45.9
Mozambique,1987,43.0
Mozambique,1988,59.1
Mozambique,1989,55.8
Mozambique,1990,53.7
Mozambique,1991,45.9
Mozambique,1992,38.1
Mozambique,1993,47.05
Mozambique,1994,56.4
Mozambique,1995,47.7
Mozambique,1996,45.8
Mozambique,1997,41.8
Mozambique,1998,40.2
Mozambique,1999,55.9
Mozambique,2000,53.6
Mozambique,2001,50.3
Mozambique,2002,47.2
Mozambique,2003,44.6
Mozambique,2005,56.2
Mozambique,2006,49.5
Mozambique,2007,48.2
Mozambique,2008,48.5
Mozambique,2011,52.9
Mozambique,2013,50.3
Mozambique,2018,48.4
